iter	RMSE
0	0.9571813398
1	0.9501341648
2	0.9431465598
3	0.9359488227
4	0.9296914523
5	0.9236627372
6	0.9179635256
7	0.9113095762
8	0.9066256938
9	0.901243173
10	0.8960921393
11	0.8904818638
12	0.8874200116
13	0.8834573235
14	0.8787848379
15	0.8755501385
16	0.8710693587
17	0.866581173
18	0.8625689234
19	0.8590514586
20	0.8551029709
21	0.8506100637
22	0.8463009366
23	0.8428324738
24	0.8398199335
25	0.8359892726
26	0.831650251
27	0.8277219956
28	0.8253436815
29	0.8229319009
30	0.8201740942
31	0.8178583774
32	0.8148785793
33	0.8118117635
34	0.8100097086
35	0.8082936555
36	0.8061724064
37	0.8037890217
38	0.8016779596
39	0.799362609
40	0.7977366463
41	0.7957753735
42	0.7939322238
43	0.7916885288
44	0.7900000787
45	0.7885019075
46	0.7864409534
47	0.7848733573
48	0.7830672632
49	0.7799981211
50	0.778316107
51	0.7768816963
52	0.7753587061
53	0.7737522604
54	0.7722237129
55	0.7707819185
56	0.7692073974
57	0.7676547771
58	0.7660887571
59	0.764748965
60	0.7629582739
61	0.7616469747
62	0.7607182757
63	0.7595879063
64	0.758146155
65	0.7566885069
66	0.7550923105
67	0.7538663291
68	0.7527556899
69	0.7513741593
70	0.7501714665
71	0.7487177961
72	0.7473219061
73	0.7461984863
74	0.7453951274
75	0.7442537935
76	0.7434626591
77	0.7423811453
78	0.7415621592
79	0.7396101967
80	0.7389353529
81	0.7374367698
82	0.7362806237
83	0.7353876924
84	0.7344458974
85	0.7334016263
86	0.7323965146
87	0.7315805792
88	0.7303440367
89	0.7291459509
90	0.7280497136
91	0.7272453129
92	0.7261864164
93	0.7248961712
94	0.7241197761
95	0.7233398059
96	0.7224007469
97	0.7215872874
98	0.7204481824
99	0.7193665338
100	0.7178602136
101	0.7169603766
102	0.7158705675
103	0.7146183974
104	0.7137867333
105	0.7128963323
106	0.7121629699
107	0.7115659741
108	0.7106999882
109	0.7101405878
110	0.7093002691
111	0.7084567472
112	0.7074819158
113	0.7066911705
114	0.7058651792
115	0.7047984893
116	0.7038830411
117	0.7032271359
118	0.7024178376
119	0.7016194047
120	0.7010609555
121	0.7002045976
122	0.699858594
123	0.6992051185
124	0.6985857134
125	0.6978455489
126	0.6970291239
127	0.6958531576
128	0.6949100749
129	0.6941971534
130	0.6935608912
131	0.6927995343
132	0.6922261733
133	0.6915860615
134	0.6906669034
135	0.6898339737
136	0.6889827946
137	0.6885114301
138	0.6879878132
139	0.6874553351
140	0.686455565
141	0.6856773493
142	0.6851121754
143	0.6838586386
144	0.6833914599
145	0.6827498946
146	0.682071924
147	0.6812940393
148	0.680622869
149	0.6799896516
150	0.6795320147
151	0.6787303609
152	0.6782738828
153	0.6775335291
154	0.676753428
155	0.6761012408
156	0.6754760149
157	0.6751076951
158	0.6743898788
159	0.6737776218
160	0.673251461
161	0.672630022
162	0.6717206586
163	0.6712287953
164	0.6703421619
165	0.6695096031
