iter	Passed	Remaining
411	4019	5735
412	4028	5725
413	4038	5715
414	4047	5706
415	4057	5696
416	4067	5686
417	4076	5676
418	4087	5667
419	4098	5660
420	4108	5650
421	4118	5640
422	4127	5630
423	4137	5620
424	4147	5610
425	4157	5601
426	4166	5591
427	4176	5581
428	4186	5572
429	4198	5565
430	4208	5555
431	4217	5545
432	4227	5535
433	4236	5525
434	4243	5511
435	4253	5501
436	4262	5491
437	4272	5482
438	4282	5472
439	4294	5465
440	4304	5456
441	4314	5446
442	4323	5436
443	4333	5426
444	4342	5416
445	4352	5406
446	4361	5396
447	4371	5385
448	4380	5375
449	4390	5366
450	4400	5356
451	4409	5346
452	4418	5335
453	4428	5325
454	4437	5315
455	4447	5305
456	4457	5295
457	4466	5285
458	4476	5275
459	4489	5270
460	4499	5260
461	4508	5250
462	4518	5240
463	4530	5233
464	4540	5224
465	4550	5214
466	4559	5204
467	4570	5194
468	4579	5185
469	4589	5175
470	4599	5165
471	4608	5155
472	4618	5146
473	4628	5135
474	4638	5126
475	4647	5116
476	4656	5106
477	4666	5095
478	4675	5085
479	4685	5075
480	4695	5066
481	4705	5056
482	4714	5046
483	4724	5036
484	4733	5026
485	4742	5016
486	4752	5006
487	4762	4996
488	4772	4987
489	4782	4977
490	4794	4970
491	4804	4960
492	4813	4950
493	4823	4940
494	4833	4931
495	4843	4921
496	4852	4911
497	4862	4901
498	4872	4891
499	4882	4882
500	4891	4872
501	4901	4862
502	4911	4852
503	4920	4842
504	4930	4832
505	4940	4822
506	4949	4813
507	4959	4803
508	4968	4793
509	4978	4783
510	4990	4775
511	5000	4765
512	5009	4755
513	5019	4745
514	5028	4735
515	5038	4725
516	5047	4715
517	5057	4705
518	5067	4696
519	5076	4686
520	5088	4678
521	5097	4668
522	5107	4658
523	5117	4648
524	5127	4638
525	5136	4629
526	5146	4619
527	5156	4609
528	5165	4599
529	5175	4589
530	5187	4581
531	5197	4571
532	5206	4561
533	5216	4552
534	5226	4542
535	5235	4532
536	5245	4522
537	5255	4512
538	5264	4502
539	5274	4492
540	5284	4483
541	5294	4473
542	5303	4463
543	5313	4454
544	5323	4444
545	5332	4434
546	5342	4424
547	5352	4414
548	5361	4404
549	5371	4394
550	5383	4386
551	5393	4377
552	5402	4367
553	5412	4357
554	5422	4347
555	5432	4337
556	5441	4328
557	5451	4318
558	5461	4308
559	5471	4299
560	5481	4289
561	5491	4279
562	5501	4270
563	5511	4260
564	5521	4251
565	5531	4241
566	5540	4231
567	5550	4221
568	5559	4211
569	5569	4201
570	5581	4193
571	5591	4183
572	5600	4173
573	5610	4163
574	5620	4154
575	5630	4144
576	5640	4134
577	5650	4125
578	5660	4115
579	5669	4105
580	5679	4095
581	5689	4086
582	5698	4076
583	5708	4066
584	5718	4056
585	5728	4047
586	5738	4037
587	5748	4027
588	5758	4018
589	5767	4008
590	5780	4000
591	5790	3990
592	5799	3980
593	5809	3970
594	5818	3960
595	5828	3950
596	5837	3940
597	5847	3930
598	5857	3921
599	5866	3911
600	5876	3901
601	5885	3891
